#Genus,Species,Strain,NCBI accession,From,To,BGC type,On contig edge,Most similar known cluster,Similarity in %,MIBiG BGC-ID,Results URL,Download URL
Streptococcus,pneumoniae,SMRU106,NZ_FCRL01000010.1,33625,56616,lanthipeptide,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FCRL01000010.1/33625-56616,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900022805.1/NZ_FCRL01000010/1/33625/56616
Streptococcus,pneumoniae,SMRU106,NZ_FCRL01000012.1,16711,28355,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FCRL01000012.1/16711-28355,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900022805.1/NZ_FCRL01000012/1/16711/28355
Streptococcus,pyogenes,NS53,NZ_CP015238.2,403038,426861,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CP015238.2/403038-426861,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001638845.2/NZ_CP015238/2/403038/426861
Streptococcus,pyogenes,NS53,NZ_CP015238.2,574244,597628,bacteriocin - lap hybrid,FALSE,streptolysin S,100,BGC0000566,https://antismash-db.secondarymetabolites.org/go/NZ_CP015238.2/574244-597628,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001638845.2/NZ_CP015238/2/574244/597628
Streptococcus,pyogenes,NS53,NZ_CP015238.2,694067,735243,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CP015238.2/694067-735243,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001638845.2/NZ_CP015238/2/694067/735243
Streptococcus,pneumoniae,SMRU106,NZ_FDGQ01000001.1,121709,162906,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDGQ01000001.1/121709-162906,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900034105.1/NZ_FDGQ01000001/1/121709/162906
Streptococcus,pneumoniae,SMRU106,NZ_FDGQ01000002.1,277729,291258,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDGQ01000002.1/277729-291258,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900034105.1/NZ_FDGQ01000002/1/277729/291258
Streptococcus,pneumoniae,SMRU106,NZ_FDGQ01000003.1,0,11411,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDGQ01000003.1/0-11411,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900034105.1/NZ_FDGQ01000003/1/0/11411
Streptococcus,pneumoniae,SMRU106,NZ_FDGQ01000007.1,9929,20226,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDGQ01000007.1/9929-20226,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900034105.1/NZ_FDGQ01000007/1/9929/20226
Streptococcus,pneumoniae,SMRU106,NZ_FDGQ01000008.1,45047,57201,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDGQ01000008.1/45047-57201,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900034105.1/NZ_FDGQ01000008/1/45047/57201
Streptococcus,pneumoniae,SMRU106,NZ_FDGQ01000015.1,5032,13806,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDGQ01000015.1/5032-13806,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900034105.1/NZ_FDGQ01000015/1/5032/13806
Streptococcus,pneumoniae,JJA,NC_012466.1,41375,56410,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NC_012466.1/41375-56410,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000018985.1/NC_012466/1/41375/56410
Streptococcus,pneumoniae,JJA,NC_012466.1,112912,132396,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NC_012466.1/112912-132396,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000018985.1/NC_012466/1/112912/132396
Streptococcus,pneumoniae,JJA,NC_012466.1,476897,486484,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NC_012466.1/476897-486484,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000018985.1/NC_012466/1/476897/486484
Streptococcus,pneumoniae,JJA,NC_012466.1,1525967,1567164,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NC_012466.1/1525967-1567164,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000018985.1/NC_012466/1/1525967/1567164
Streptococcus,pneumoniae,JJA,NC_012466.1,1802253,1825244,lanthipeptide,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NC_012466.1/1802253-1825244,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000018985.1/NC_012466/1/1802253/1825244
Streptococcus,pneumoniae,JJA,NC_012466.1,1849111,1859408,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NC_012466.1/1849111-1859408,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000018985.1/NC_012466/1/1849111/1859408
Streptococcus,pneumoniae,SMRU106,NZ_CHGL01000002.1,159481,169955,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CHGL01000002.1/159481-169955,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001336175.1/NZ_CHGL01000002/1/159481/169955
Streptococcus,gordonii,FDAARGOS_257,NZ_CP020450.2,366974,390309,lap - thiopeptide hybrid,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CP020450.2/366974-390309,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002073435.2/NZ_CP020450/2/366974/390309
Streptococcus,pneumoniae,SMRU106,NZ_CHGL01000008.1,59790,75307,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CHGL01000008.1/59790-75307,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001336175.1/NZ_CHGL01000008/1/59790/75307
Streptococcus,gordonii,FDAARGOS_257,NZ_CP020450.2,397208,406516,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CP020450.2/397208-406516,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002073435.2/NZ_CP020450/2/397208/406516
Streptococcus,gordonii,FDAARGOS_257,NZ_CP020450.2,516621,557800,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CP020450.2/516621-557800,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002073435.2/NZ_CP020450/2/516621/557800
Streptococcus,gordonii,FDAARGOS_257,NZ_CP020450.2,816246,828400,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CP020450.2/816246-828400,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002073435.2/NZ_CP020450/2/816246/828400
Streptococcus,pneumoniae,SMRU106,NZ_CHGL01000013.1,10571,20919,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CHGL01000013.1/10571-20919,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001336175.1/NZ_CHGL01000013/1/10571/20919
Streptococcus,pneumoniae,SMRU106,NZ_CHGL01000014.1,0,21677,t3pks,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CHGL01000014.1/0-21677,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001336175.1/NZ_CHGL01000014/1/0/21677
Streptococcus,pneumoniae,SMRU106,NZ_CHGL01000022.1,0,8297,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CHGL01000022.1/0-8297,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001336175.1/NZ_CHGL01000022/1/0/8297
Streptococcus,pneumoniae,SMRU106,NZ_CHGL01000027.1,0,14280,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CHGL01000027.1/0-14280,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001336175.1/NZ_CHGL01000027/1/0/14280
Streptococcus,gordonii,FDAARGOS_257,NZ_QSKN01000003.1,39552,117051,t1nrps,FALSE,thermophilin 1277,20,BGC0000561,https://antismash-db.secondarymetabolites.org/go/NZ_QSKN01000003.1/39552-117051,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003469915.1/NZ_QSKN01000003/1/39552/117051
Streptococcus,gordonii,FDAARGOS_257,NZ_QSKN01000004.1,344846,386025,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_QSKN01000004.1/344846-386025,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003469915.1/NZ_QSKN01000004/1/344846/386025
Streptococcus,gordonii,FDAARGOS_257,NZ_QSKN01000006.1,5887,18041,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_QSKN01000006.1/5887-18041,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003469915.1/NZ_QSKN01000006/1/5887/18041
Streptococcus,gordonii,FDAARGOS_257,NZ_LR594049.1,239603,280782,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_LR594049.1/239603-280782,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_901544385.1/NZ_LR594049/1/239603/280782
Streptococcus,gordonii,FDAARGOS_257,NZ_LR594049.1,2142854,2155008,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_LR594049.1/2142854-2155008,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_901544385.1/NZ_LR594049/1/2142854/2155008
Streptococcus,pneumoniae,SMRU106,NZ_FZCI01000007.1,14072,24272,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FZCI01000007.1/14072-24272,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900194695.1/NZ_FZCI01000007/1/14072/24272
Streptococcus,pneumoniae,SMRU106,NZ_FZCI01000007.1,92966,103766,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FZCI01000007.1/92966-103766,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900194695.1/NZ_FZCI01000007/1/92966/103766
Streptococcus,pneumoniae,SMRU106,NZ_FZCI01000013.1,10993,21290,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FZCI01000013.1/10993-21290,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900194695.1/NZ_FZCI01000013/1/10993/21290
Streptococcus,pneumoniae,SMRU106,NZ_FZCI01000021.1,5306,43749,lanthipeptide,TRUE,thermophilin 1277,30,BGC0000561,https://antismash-db.secondarymetabolites.org/go/NZ_FZCI01000021.1/5306-43749,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900194695.1/NZ_FZCI01000021/1/5306/43749
Streptococcus,pyogenes,NS53,NZ_LS483521.1,393835,404410,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_LS483521.1/393835-404410,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900474945.1/NZ_LS483521/1/393835/404410
Streptococcus,pneumoniae,SMRU106,NZ_FZCI01000002.1,27794,50053,lanthipeptide,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FZCI01000002.1/27794-50053,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900194695.1/NZ_FZCI01000002/1/27794/50053
Streptococcus,pyogenes,NS53,NZ_LS483521.1,550260,573644,bacteriocin - lap hybrid,FALSE,streptolysin S,100,BGC0000566,https://antismash-db.secondarymetabolites.org/go/NZ_LS483521.1/550260-573644,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900474945.1/NZ_LS483521/1/550260/573644
Streptococcus,pyogenes,NS53,NZ_LS483521.1,671482,712658,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_LS483521.1/671482-712658,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900474945.1/NZ_LS483521/1/671482/712658
Streptococcus,pneumoniae,SMRU106,NZ_FZCI01000018.1,29712,40012,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FZCI01000018.1/29712-40012,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900194695.1/NZ_FZCI01000018/1/29712/40012
Streptococcus,pneumoniae,SMRU106,NZ_FZCI01000009.1,0,9320,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FZCI01000009.1/0-9320,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900194695.1/NZ_FZCI01000009/1/0/9320
Streptococcus,pyogenes,NS53,NZ_CP035444.1,411871,432828,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CP035444.1/411871-432828,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005164885.1/NZ_CP035444/1/411871/432828
Streptococcus,pyogenes,NS53,NZ_CP035444.1,583538,606922,bacteriocin - lap hybrid,FALSE,streptolysin S,100,BGC0000566,https://antismash-db.secondarymetabolites.org/go/NZ_CP035444.1/583538-606922,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005164885.1/NZ_CP035444/1/583538/606922
Streptococcus,pneumoniae,SMRU106,NZ_FZCI01000023.1,0,19448,lap - thiopeptide hybrid,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FZCI01000023.1/0-19448,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900194695.1/NZ_FZCI01000023/1/0/19448
Streptococcus,pyogenes,NS53,NZ_CP035444.1,703377,744553,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CP035444.1/703377-744553,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005164885.1/NZ_CP035444/1/703377/744553
Streptococcus,salivarius,CCHSS3,NC_015760.1,264464,276262,bacteriocin,FALSE,asukamycin,3,BGC0000187,https://antismash-db.secondarymetabolites.org/go/NC_015760.1/264464-276262,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000253335.1/NC_015760/1/264464/276262
Streptococcus,pneumoniae,SMRU106,NZ_FZCI01000008.1,49550,90723,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FZCI01000008.1/49550-90723,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900194695.1/NZ_FZCI01000008/1/49550/90723
Streptococcus,salivarius,CCHSS3,NC_015760.1,742809,776926,lanthipeptide - ras-ripp hybrid,FALSE,salivaricin 9,100,BGC0000547,https://antismash-db.secondarymetabolites.org/go/NC_015760.1/742809-776926,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000253335.1/NC_015760/1/742809/776926
Streptococcus,salivarius,CCHSS3,NC_015760.1,1579284,1620451,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NC_015760.1/1579284-1620451,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000253335.1/NC_015760/1/1579284/1620451
Streptococcus,salivarius,CCHSS3,NC_015760.1,1783438,1791733,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NC_015760.1/1783438-1791733,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000253335.1/NC_015760/1/1783438/1791733
Streptococcus,salivarius,CCHSS3,NC_015760.1,1875772,1894610,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NC_015760.1/1875772-1894610,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000253335.1/NC_015760/1/1875772/1894610
Streptococcus,pyogenes,NS53,NZ_CAAHJY010000001.1,336,5385,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CAAHJY010000001.1/336-5385,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900983555.1/NZ_CAAHJY010000001/1/336/5385
Streptococcus,pyogenes,NS53,NZ_CAAHJY010000001.1,161761,185145,bacteriocin - lap hybrid,FALSE,streptolysin S,100,BGC0000566,https://antismash-db.secondarymetabolites.org/go/NZ_CAAHJY010000001.1/161761-185145,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900983555.1/NZ_CAAHJY010000001/1/161761/185145
Streptococcus,pyogenes,NS53,NZ_CAAHJY010000001.1,281607,322783,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CAAHJY010000001.1/281607-322783,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900983555.1/NZ_CAAHJY010000001/1/281607/322783
Streptococcus,pyogenes,NS53,NZ_CAAHJY010000005.1,115928,132612,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CAAHJY010000005.1/115928-132612,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900983555.1/NZ_CAAHJY010000005/1/115928/132612
Streptococcus,sanguinis,FDAARGOS_770,NZ_CP054570.1,1759108,1800287,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CP054570.1/1759108-1800287,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013343115.1/NZ_CP054570/1/1759108/1800287
Streptococcus,pyogenes,NS53,NZ_CAAHJY010000007.1,0,1669,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CAAHJY010000007.1/0-1669,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900983555.1/NZ_CAAHJY010000007/1/0/1669
Streptococcus,pneumoniae,SMRU106,NZ_CMLU01000006.1,60843,71191,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CMLU01000006.1/60843-71191,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001154365.1/NZ_CMLU01000006/1/60843/71191
Streptococcus,pneumoniae,SMRU106,NZ_CMLU01000007.1,65004,83557,lassopeptide,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CMLU01000007.1/65004-83557,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001154365.1/NZ_CMLU01000007/1/65004/83557
Streptococcus,pneumoniae,SMRU106,NZ_CMLU01000008.1,66562,76859,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CMLU01000008.1/66562-76859,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001154365.1/NZ_CMLU01000008/1/66562/76859
Streptococcus,pneumoniae,SMRU106,NZ_CMLU01000010.1,15946,26195,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CMLU01000010.1/15946-26195,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001154365.1/NZ_CMLU01000010/1/15946/26195
Streptococcus,pneumoniae,SMRU106,NZ_CMLU01000019.1,0,21677,t3pks,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CMLU01000019.1/0-21677,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001154365.1/NZ_CMLU01000019/1/0/21677
Streptococcus,pneumoniae,SMRU106,NZ_CMLU01000021.1,0,13051,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CMLU01000021.1/0-13051,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001154365.1/NZ_CMLU01000021/1/0/13051
Streptococcus,pneumoniae,SMRU106,NZ_CMLU01000026.1,6704,18348,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CMLU01000026.1/6704-18348,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001154365.1/NZ_CMLU01000026/1/6704/18348
Streptococcus,pneumoniae,SMRU106,NZ_CMLU01000036.1,0,11012,lanthipeptide,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CMLU01000036.1/0-11012,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001154365.1/NZ_CMLU01000036/1/0/11012
Streptococcus,pyogenes,NS53,NZ_LS483382.1,388941,398982,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_LS483382.1/388941-398982,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900475475.1/NZ_LS483382/1/388941/398982
Streptococcus,pyogenes,NS53,NZ_LS483382.1,592559,615943,bacteriocin - lap hybrid,FALSE,streptolysin S,100,BGC0000566,https://antismash-db.secondarymetabolites.org/go/NZ_LS483382.1/592559-615943,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900475475.1/NZ_LS483382/1/592559/615943
Streptococcus,pyogenes,NS53,NZ_LS483382.1,712414,753590,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_LS483382.1/712414-753590,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900475475.1/NZ_LS483382/1/712414/753590
Streptococcus,pyogenes,NS53,NZ_LS483382.1,871102,894257,lanthipeptide,FALSE,streptin,90,BGC0000556,https://antismash-db.secondarymetabolites.org/go/NZ_LS483382.1/871102-894257,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900475475.1/NZ_LS483382/1/871102/894257
Streptococcus,pneumoniae,SMRU106,NZ_MTGB01000012.1,14090,27147,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_MTGB01000012.1/14090-27147,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001999365.1/NZ_MTGB01000012/1/14090/27147
Streptococcus,pneumoniae,SMRU106,NZ_MTGB01000002.1,64698,74995,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_MTGB01000002.1/64698-74995,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001999365.1/NZ_MTGB01000002/1/64698/74995
Streptococcus,pyogenes,NS53,NZ_CAAHHX010000001.1,0,12757,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CAAHHX010000001.1/0-12757,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900983015.1/NZ_CAAHHX010000001/1/0/12757
Streptococcus,pyogenes,NS53,NZ_CAAHHX010000001.1,167357,190741,bacteriocin - lap hybrid,FALSE,streptolysin S,100,BGC0000566,https://antismash-db.secondarymetabolites.org/go/NZ_CAAHHX010000001.1/167357-190741,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900983015.1/NZ_CAAHHX010000001/1/167357/190741
Streptococcus,pyogenes,NS53,NZ_CAAHHX010000001.1,287186,328362,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_CAAHHX010000001.1/287186-328362,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900983015.1/NZ_CAAHHX010000001/1/287186/328362
